@relation beisbol_prediccion

@attribute local_visitante {Local,Visitante}
@attribute racha_ult3 numeric
@attribute prom_carreras_favor numeric
@attribute prom_carreras_contra numeric
@attribute rival_fuerza {Baja,Alta,Media}
@attribute gana {Si,No}

@data
Visitante,3,2.14,8.96,Media,Si
Visitante,0,8.92,7.15,Media,No
Local,2,9.88,1.49,Alta,Si
Visitante,2,3.14,0.01,Alta,Si
Local,0,3.1,8.89,Alta,No
Visitante,1,8.16,1.69,Baja,No
Local,1,1.44,7.36,Alta,No
Visitante,1,6.06,2.31,Media,Si
Visitante,0,4.89,2.97,Alta,No
Local,0,5.67,9.42,Baja,Si
Local,2,1.94,3.85,Media,No
Local,2,2.34,8.6,Alta,No
Visitante,1,4.46,9.94,Media,No
Visitante,1,5.71,0.75,Media,No
Visitante,3,0.74,3.6,Baja,No
Visitante,3,0.81,6.34,Media,Si
Visitante,3,8.68,6.5,Baja,No
Local,2,5.73,2.31,Baja,Si
Visitante,1,9.94,4.11,Alta,No
Visitante,0,1.18,2.1,Baja,No
Visitante,2,3.79,5.81,Alta,No
Local,0,5.55,3.02,Media,No
Visitante,0,2.48,3.17,Baja,No
Local,2,1.3,0.73,Baja,Si
Visitante,3,4.2,3.11,Media,No
Visitante,2,8.26,6.86,Alta,Si
Visitante,2,1.16,0.9,Baja,No
Visitante,3,1.18,9.78,Media,Si
Local,3,6.27,6.91,Baja,No
Visitante,2,2.04,5.67,Alta,No
Local,3,8.32,6.45,Media,Si
Visitante,2,0.32,4.35,Alta,No
Local,1,3.45,1.68,Baja,Si
Visitante,1,2.28,5.53,Media,Si
Local,3,1.62,6.88,Baja,No
Visitante,0,4.62,1.2,Baja,No
Local,2,5.05,7.04,Media,Si
Visitante,1,6.91,3.5,Alta,No
Visitante,0,3.94,9.28,Alta,No
Local,1,0.63,6.32,Media,No
Visitante,2,1.22,4.5,Baja,Si
Local,2,7.98,1.59,Baja,Si
Visitante,3,0.02,0.28,Alta,No
Visitante,2,4.98,3.33,Media,No
Local,2,0.02,1.54,Baja,Si
Visitante,1,7.52,3.58,Baja,Si
Visitante,1,6.16,7.95,Media,No
Local,2,1.24,9.82,Media,No
Visitante,2,9.49,9.98,Alta,No
Visitante,0,3.53,4.1,Alta,No
Local,0,8.78,3.8,Alta,No
